contract_address,name,symbol,decimals
usdt.tether-token.near,Tether USD,USDt,6
token.sweat,SWEAT,SWEAT,18
17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC,USDC,6
aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near,Aurora,AURORA,18
linear-protocol.near,LiNEAR,LINEAR,24
meta-pool.near,Staked NEAR,STNEAR,24
wrap.near,Wrapped NEAR fungible token,wNEAR,24
walc.near,WALC,WALC,24
token.sendertge.near,Sender AI Token,ASI,18
staker1.msig1.trufin.near,TruNEAR Token,TruNEAR,24
a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,Bridged USDC,USDC.e,6
meta-token.near,Meta Token,$META,24
token.v2.ref-finance.near,Ref Finance Token,REF,18
mpdao-token.near,metapool.app DAO Governance Token,mpDAO,6
dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,Tether USD,USDT.e,6
usn,USN,USN,18
aurora,Ether,ETH,18
purge-558.meme-cooking.near,Forgive Me Father,PURGE,18
853d955acef822db058eb8505911ed77f175b99e.factory.bridge.near,Frax,FRAX,18
far-token.fewandfar-protocol.near,FAR Token,FAR,18
438e48ed4ce6beecf503d43b9dbd3c30d516e7fd.factory.bridge.near,UWON,UWON,18
token.burrow.near,Burrow Token,BRRR,18
f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,Octopus Network Token,OCT,18
2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,Wrapped BTC,WBTC,8
6b175474e89094c44da98b954eedeac495271d0f.factory.bridge.near,Dai Stablecoin,DAI,18
blackdragon.tkn.near,Black Dragon,BLACKDRAGON,24
token.v1.realisnetwork.near,Realis,LIS,12
gear.enleap.near,GEAR,GEAR,18
52a047ee205701895ee06a375492490ec9c597ce.factory.bridge.near,Pulse,PULSE,18
token.0xshitzu.near,SHITZU,SHITZU,18
token.lonkingnearbackto2024.near,LONK fungible token,LONK,8
1117ac6ad6cdf1a3bc543bad3b133724620522d5.factory.bridge.near,moda,MODA,18
a663b02cf0a4b149d2ad41910cb81e23e1c41c32.factory.bridge.near,Staked FRAX,sFRAX,18
802d89b6e511b335f05024a65161bce7efc3f311.factory.bridge.near,LNR,LNR,18
ftv2.nekotoken.near,NEKO,NEKO,24
e99de844ef3ef72806cf006224ef3b813e82662f.factory.bridge.near,YouMinter,UMINT,18
d9c2d319cd7e6177336b0a9c93c21cb48d84fb54.factory.bridge.near,HAPI,HAPI,18
1ab43204a195a0fd37edec621482afd3792ef90b.factory.bridge.near,Aurigami Token,PLY,18
edge-fast.near,Edge Video AI,FAST,24
neat.nrc-20.near,NEAT,NEAT,8
token.paras.near,PARAS,PARAS,18
token.skyward.near,Skyward Finance Token,SKYWARD,18
ea7cc765ebc94c4805e3bff28d7e4ae48d06468a.factory.bridge.near,NearPad Token,PAD,18
token.stlb.near,SeatlabNFT,SEAT,5
kat.token0.near,NearKat,KAT,18
sol.token.a11bd.near,Solana,SOL,24
c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.factory.bridge.near,Wrapped Ether,WETH,18
3ea8ea4237344c9931214796d9417af1a1180770.factory.bridge.near,Flux Token,FLX,18
celo.token.a11bd.near,Celo,CELO,24
30d20208d987713f46dfd34ef128bb16c404d10f.factory.bridge.near,Stader,SD,18
3432b6a60d23ca0dfca7761b7ab56459d9c964d0.factory.bridge.near,Frax Share,FXS,18
token.pembrock.near,PembRock,PEM,18
a35923162c49cf95e6bf26623385eb431ad920d3.factory.bridge.near,Turbo,TURBO,18
abr.a11bd.near,ABR,ABR,24
a4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016.factory.bridge.near,1MILNFT,1MIL,18
0316eb71485b0ab14103307bf65a021042c6d380.factory.bridge.near,Huobi BTC,HBTC,18
43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd.factory.bridge.near,DODO bird,DODO,18
059a1f1dea1020297588c316ffc30a58a1a0d4a2.factory.bridge.near,Bastion,BSTN,18
marmaj.tkn.near,marma j token,marmaj,18
509a38b7a1cc0dcd83aa9d06214663d9ec7c7f4a.factory.bridge.near,BlocksquareToken,BST,18
4691937a7508860f876c9c0a2a617e7d9e945d4b.factory.bridge.near,Wootrade Network,WOO,18
cusd.token.a11bd.near,Celo Dollar,cUSD,24
06a00715e6f92210af9d7680b584931faf71a833.factory.bridge.near,Chronicle,XNL,18
9aeb50f542050172359a0e1a25a9933bc8c01259.factory.bridge.near,oinfinance,OIN,8
1f9840a85d5af5bf1d1762f925bdaddc4201f984.factory.bridge.near,Uniswap,UNI,18
fusotao-token.near,FUSOTAO,TAO,18
a0b73e1ff0b80914ab6fe0444e65848c4c34450b.factory.bridge.near,CRO,CRO,8
utopia.secretskelliessociety.near,Utopia,UTO,8
1a7e4e63778b4f12a199c062f3efdd288afcbce8.factory.bridge.near,agEUR,agEUR,18
514910771af9ca656af840dff83e8264ecf986ca.factory.bridge.near,ChainLink Token,LINK,18
0d8775f648430679a709e98d2b0cb6250d2887ef.factory.bridge.near,Basic Attention Token,BAT,18
508df5aa4746be37b5b6a69684dfd8bdc322219d.factory.bridge.near,Crafting Finance,CRF,18
7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9.factory.bridge.near,Aave Token,AAVE,18
429881672b9ae42b8eba0e26cd9c73711b891ca5.factory.bridge.near,PickleToken,PICKLE,18
c00e94cb662c3520282e6f5717214004a7f26888.factory.bridge.near,Compound,COMP,18
a4cb0dce4849bdcad2d553e9e68644cf40e26cce.factory.bridge.near,BakedToken,BAKED,18
111111111117dc0aa78b770fa6a738034120c302.factory.bridge.near,1INCH Token,1INCH,18
