wormhole_contract_address,near_contract_address,symbol
1.contract.portalbridge.near,c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.factory.bridge.near,WETH
3.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
4.contract.portalbridge.near,usdt.tether-token.near,USDT
7.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
10.contract.portalbridge.near,usdt.tether-token.near,USDT
12.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
14.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
16.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
18.contract.portalbridge.near,usdt.tether-token.near,USDT
22.contract.portalbridge.near,sol.token.a11bd.near,SOL
24.contract.portalbridge.near,c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.factory.bridge.near,WETH
26.contract.portalbridge.near,c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2.factory.bridge.near,WETH
36.contract.portalbridge.near,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,WBTC
37.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
38.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
39.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
40.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
41.contract.portalbridge.near,17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,USDC
