blockchain,id
solana,1
ethereum,2
terra,3
bsc,4
polygon,5
avalanche,6
oasis,7
algorand,8
aurora,9
fantom,10
karura,11
acala,12
klaytn,13
celo,14
near,15
moonbeam,16
neon,17
terra2,18
injective,19
osmosis,20
sui,21
aptos,22
arbitrum,23
optimism,24
gnosis,25
pythnet,26
xpla,28
base,30
sei,32
rootstock,33
scroll,34
mantle,35
cosmoshub,4000
evmos,4001
kujira,4002
neutron,4003
celestia,4004
sepolia,10002
arbitrum_sepolia,10003
base_sepolia,10004
optimism_sepolia,10005
holesky,10006
