"DATE","ADDRESS","BALANCE"
"2023-04-13","figment.poolv1.near",39859950.4696023
"2023-04-13","staked.poolv1.near",39477869.7899413
"2023-04-13","astro-stakers.poolv1.near",26533422.4204155
"2023-04-13","bzam6yjpnfnxsdmjf6pw.poolv1.near",23462112.6396619
"2023-04-13","zavodil.poolv1.near",18690428.3589853
"2023-04-13","binancenode1.poolv1.near",14089004.566756
"2023-04-13","yes_protocol1.poolv1.near",13773087.7620679
"2023-04-13","epic.poolv1.near",13637834.4467274
"2023-04-13","staking_yes_protocol1.poolv1.near",13573338.9900641
"2023-04-13","electric.poolv1.near",13210303.1738207
"2023-04-13","aurora.pool.near",12304095.9255669
"2023-04-13","stake1.poolv1.near",11852808.4163067
"2023-04-13","valisaurus-dex.poolv1.near",11401024.7092727
"2023-04-13","mockingbird.poolv1.near",11387338.2718692
"2023-04-13","magic.poolv1.near",10704196.496113
"2023-04-13","rekt.poolv1.near",10437753.4260977
"2023-04-13","dqw9k3e4422cxt92masmy.poolv1.near",9716530.00010923
"2023-04-13","continue.poolv1.near",7582244.00238993
"2023-04-13","nearcrowd.poolv1.near",6999805.00041513
"2023-04-13","finoa.poolv1.near",6937034.00956268
"2023-04-13","kiln.poolv1.near",6790320.72026308
"2023-04-13","hashquark.poolv1.near",5832709.89625055
"2023-04-13","stakin.poolv1.near",5808552.78830343
"2023-04-13","blockdaemon.poolv1.near",5800968.1757897
"2023-04-13","near-fans.poolv1.near",5489171.48350738
"2023-04-13","legends.poolv1.near",5488150.51774643
"2023-04-13","everstake.poolv1.near",4813645.15032224
"2023-04-13","p2p-org.poolv1.near",4778681.45185801
"2023-04-13","northernlights.poolv1.near",4755834.61499794
"2023-04-13","nearfans.poolv1.near",4691555.12373654
"2023-04-13","abl_pool.poolv1.near",4499830.00278915
"2023-04-13","openshards.poolv1.near",4454467.45232312
"2023-04-13","08investinwomen_runbybisontrails.poolv1.near",4314327.55128189
"2023-04-13","smart-stake.poolv1.near",4209887.62741372
"2023-04-13","pandora.poolv1.near",4181416.96405592
"2023-04-13","dokiacapital.poolv1.near",4159200.17393098
"2023-04-13","bisontrails.poolv1.near",4049497.20120427
"2023-04-13","trillian.poolv1.near",3999890.00179682
"2023-04-13","stakesabai.poolv1.near",3807053.37165158
"2023-04-13","sharpdarts.poolv1.near",3478434.22261044
"2023-04-13","nodeasy.poolv1.near",3450830.77891374
"2023-04-13","lux.poolv1.near",3058540.02792818
"2023-04-13","alex.poolv1.near",3012070.81057868
"2023-04-13","audit_one.poolv1.near",2999880.00107729
"2023-04-13","sweden.poolv1.near",2999880.00041204
"2023-04-13","artemis.poolv1.near",2999730.00041612
"2023-04-13","fish.poolv1.near",2932784.56837877
"2023-04-13","lunanova.poolv1.near",2872374.61520613
"2023-04-13","accomplice.poolv1.near",2499830.00091217
"2023-04-13","01node.poolv1.near",2434359.79250683
"2023-04-13","ledgerbyfigment.poolv1.near",2419846.35643702
"2023-04-13","allnodes.poolv1.near",2198391.38023436
"2023-04-13","moonlet.poolv1.near",2080219.28573324
"2023-04-13","certusone.poolv1.near",2003030.00091556
"2023-04-13","huobipool.poolv1.near",2000030.00040353
"2023-04-13","ashert.poolv1.near",1998930.00041115
"2023-04-13","tottenham_hotspur.poolv1.near",1899030.00041159
"2023-04-13","atomic-nodes.poolv1.near",1728713.36224574
"2023-04-13","avado.poolv1.near",1592826.0832327
"2023-04-13","fresh.poolv1.near",1534144.67561413
"2023-04-13","jazza.poolv1.near",1501814.88301057
"2023-04-13","satori.poolv1.near",1500030.00015167
"2023-04-13","d1.poolv1.near",1499495.0018295
"2023-04-13","pandateam.poolv1.near",1323285.92379312
"2023-04-13","okexpool.poolv1.near",1200030.00086641
"2023-04-13","stakefish.poolv1.near",1200030.00040827
"2023-04-13","staking_sp2.poolv1.near",1145864.04317259
"2023-04-13","stakely_io.poolv1.near",1037760.71930122
"2023-04-13","nonli-near.poolv1.near",1025517.907
"2023-04-13","appload.poolv1.near",999995.000409193
"2023-04-13","bitcoinsuisse.poolv1.near",991036.00126416
"2023-04-13","staking_opp_disc.poolv1.near",941393.500016945
"2023-04-13","optimusvalidatornetwork.poolv1.near",833903.874858682
"2023-04-13","dexagon.poolv1.near",814456.001077193
"2023-04-13","cryptogarik.poolv1.near",812964.383304378
"2023-04-13","pathrocknetwork.poolv1.near",781223.418616861
"2023-04-13","galactic.poolv1.near",772284.838066201
"2023-04-13","staking-power.poolv1.near",733236.655393336
"2023-04-13","prophet.poolv1.near",677034.082629241
"2023-04-13","infiniteloop.poolv1.near",665531.091723649
"2023-04-13","dragonfly.poolv1.near",605138.131076968
"2023-04-13","readylayerone_staking.poolv1.near",603134.923828473
"2023-04-13","usn-unofficial.pool.near",563257.04135323
"2023-04-13","calimero.pool.near",503994.38459
"2023-04-13","hapi.poolv1.near",494616.230833285
"2023-04-13","n0ok.poolv1.near",455298.67961877
"2023-04-13","synclub.poolv1.near",413207.744250153
"2023-04-13","masternode24.poolv1.near",400036.300986066
"2023-04-13","baziliknear.poolv1.near",400030.001635702
"2023-04-13","inotel.poolv1.near",400030.000457809
"2023-04-13","anonymous.poolv1.near",400030.000418106
"2023-04-13","near8888.poolv1.near",400030.000413123
"2023-04-13","kukulastake1.poolv1.near",400030.000411409
"2023-04-13","dialecticstake.poolv1.near",400030.000409554
"2023-04-13","ideocolabventures.poolv1.near",400030.00040887
"2023-04-13","hb436_pool.poolv1.near",400030.000405495
"2023-04-13","johnsmith.poolv1.near",400030.000405468
"2023-04-13","bobby.poolv1.near",400030.000405252
