"DATE","BALANCE"
"2023-04-17",525302442.40576
"2023-04-16",525331908.303721
"2023-04-15",525484371.744249
"2023-04-14",525516232.716233
"2023-04-13",525346864.673976
"2023-04-12",524884213.255255
"2023-04-11",524168646.874165
"2023-04-10",523888025.606683
"2023-04-09",524030436.799014
"2023-04-08",523801472.422617
"2023-04-07",523640109.841629
"2023-04-06",523952779.449744
"2023-04-05",524082671.844959
"2023-04-04",512333260.108164
"2023-04-03",511612016.629388
"2023-04-02",513091650.976753
"2023-04-01",521901112.950164
"2023-03-31",522282719.843705
"2023-03-30",521990572.733149
"2023-03-29",521592192.096697
"2023-03-28",515231292.759435
"2023-03-27",515752064.365875
"2023-03-26",515491921.36164
"2023-03-25",515453378.266782
"2023-03-24",515839479.494573
"2023-03-23",515070782.21516
"2023-03-22",514413767.232849
"2023-03-21",517040717.258524
"2023-03-20",520598634.390756
"2023-03-19",520498665.038475
"2023-03-18",522390720.677119
"2023-03-17",521877470.751947
"2023-03-16",521252884.227732
"2023-03-15",520416277.579302
"2023-03-14",524909559.709131
"2023-03-13",523624055.703041
"2023-03-12",523399220.394401
"2023-03-11",523075418.736686
"2023-03-10",524562575.004826
"2023-03-09",524658866.848324
"2023-03-08",524152522.678428
"2023-03-07",523909421.724831
"2023-03-06",523881853.905344
"2023-03-05",523967259.372762
"2023-03-04",524474921.030593
"2023-03-03",524507763.793681
"2023-03-02",524690732.199182
"2023-03-01",525636632.124166
"2023-02-28",524903202.860459
"2023-02-27",523388471.105204
"2023-02-26",522949748.303448
"2023-02-25",526172575.732949
"2023-02-24",526174756.66713
"2023-02-23",526084615.614084
"2023-02-22",524999312.086707
"2023-02-21",524979445.641776
"2023-02-20",525024537.079605
"2023-02-19",524476214.67148
"2023-02-18",524476990.107932
"2023-02-17",494814742.699927
"2023-02-16",495752845.678345
"2023-02-15",495799948.434719
"2023-02-14",495804595.895332
"2023-02-13",495200308.256601
"2023-02-12",495003657.392988
"2023-02-11",494730271.683732
"2023-02-10",494306402.238153
"2023-02-09",491159183.066988
"2023-02-08",490956185.087934
"2023-02-07",494038044.134533
"2023-02-06",492487339.059839
"2023-02-05",491769477.446401
"2023-02-04",491544309.020241
"2023-02-03",491427391.953512
"2023-02-02",491175071.712208
"2023-02-01",490307319.064894
"2023-01-31",489715467.941316
"2023-01-30",488799640.740699
"2023-01-29",489699103.95071
"2023-01-28",489563525.005292
"2023-01-27",489857988.824325
"2023-01-26",488357092.79806
"2023-01-25",488561321.920364
"2023-01-24",488599480.304639
"2023-01-23",488923911.734323
"2023-01-22",488601040.47035
"2023-01-21",487455381.132319
"2023-01-20",487413527.344899
"2023-01-19",489853215.768333
"2023-01-18",486661559.407063
"2023-01-17",486271699.647176
"2023-01-16",487420088.793448
"2023-01-15",487418743.658396
"2023-01-14",487984987.100925
"2023-01-13",488061904.083876
"2023-01-12",487371584.730384
"2023-01-11",485748966.989364
"2023-01-10",485638123.878028
"2023-01-09",484906333.797
"2023-01-08",485119005.76336
"2023-01-07",485018315.68989
"2023-01-06",484662823.639022
"2023-01-05",488691610.602711
"2023-01-04",488611800.426829
"2023-01-03",485006959.920948
"2023-01-02",485161080.868321
"2023-01-01",484992696.926011
"2022-12-31",484699607.42716
"2022-12-30",484371377.100833
"2022-12-29",484345193.278138
"2022-12-28",484095481.339709
"2022-12-27",475725878.956133
"2022-12-26",477086162.464753
"2022-12-25",477166725.720189
"2022-12-24",476583113.234608
"2022-12-23",476682492.339589
"2022-12-22",477270595.282821
"2022-12-21",476549840.80094
"2022-12-20",479316629.508759
"2022-12-19",479016121.451525
"2022-12-18",480738860.833426
"2022-12-17",480600870.404025
"2022-12-16",470039686.745939
"2022-12-15",470504819.377368
"2022-12-14",466095964.204331
"2022-12-13",465775628.719195
"2022-12-12",465400098.875204
"2022-12-11",476581910.326385
"2022-12-10",481436022.353794
"2022-12-09",482161133.859315
"2022-12-08",482668050.559196
"2022-12-07",482564050.362392
"2022-12-06",482559584.019654
"2022-12-05",482242781.109185
"2022-12-04",481857746.429029
"2022-12-03",479949034.172582
"2022-12-02",477805250.691172
"2022-12-01",479019450.220956
"2022-11-30",478703750.192404
"2022-11-29",479014646.006424
"2022-11-28",470744133.835041
"2022-11-27",470514603.529771
"2022-11-26",470491549.607713
"2022-11-25",470007232.059306
"2022-11-24",469341915.150184
"2022-11-23",469748275.059248
"2022-11-22",468948399.086015
"2022-11-21",468682822.499531
"2022-11-20",468202713.362794
"2022-11-19",469221439.377842
"2022-11-18",469000887.353108
"2022-11-17",468588871.443804
"2022-11-16",468845860.048099
"2022-11-15",468823275.007095
"2022-11-14",468239602.269379
"2022-11-13",481546526.526967
"2022-11-12",480808066.297977
"2022-11-11",481053972.967497
"2022-11-10",460688814.771126
"2022-11-09",462917035.769203
"2022-11-08",463049316.088774
"2022-11-07",464914743.93734
"2022-11-06",465539794.364446
"2022-11-05",464364165.901018
"2022-11-04",472378970.714649
"2022-11-03",472785608.919819
"2022-11-02",476659210.566683
"2022-11-01",477154723.868079
"2022-10-31",477299060.710974
"2022-10-30",477081164.730092
"2022-10-29",477377556.813151
"2022-10-28",477434867.526374
"2022-10-27",474569544.902662
"2022-10-26",473948486.638486
"2022-10-25",472531288.013746
"2022-10-24",472736445.101421
"2022-10-23",473334859.089734
"2022-10-22",473146241.730882
"2022-10-21",472953650.65955
"2022-10-20",472928856.531972
"2022-10-19",472802438.944004
"2022-10-18",473328504.337672
"2022-10-17",474091640.962337
"2022-10-16",473882892.641477
"2022-10-15",473423904.168616
"2022-10-14",472383255.015999
"2022-10-13",472156965.843446
"2022-10-12",472113570.527296
"2022-10-11",472158583.172344
"2022-10-10",471706651.545747
"2022-10-09",471289031.044627
"2022-10-08",470988829.062522
"2022-10-07",470720923.427925
"2022-10-06",465159790.365519
"2022-10-05",464706766.805527
"2022-10-04",464859639.828569
